run_id,batch_id,model_name,model_source,task,item_id,repetition,prompt_version,rubric_version,temperature,started_at,finished_at,latency_s,tokens_prompt,tokens_completion,tokens_total,tokens_per_s,retries,status,error,raw_path,accuracy_score,overall_score,research_score,metric_requirement_coverage,metric_category_diversity,metric_field_completeness,metric_non_duplication,metric_tokens_per_s,metric_deterministic_detail,metric_judge_detail,metric_section_completeness,metric_type_coverage,ok,speed_score
20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r3,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_cases,01-login,3,v1,v1,0.1,2026-07-25T15:18:01.729698+00:00,2026-07-25T15:19:15.004057+00:00,72.8619005419987,613,1261,1874,25.71988907865227,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r3.txt,0.8620689655172413,0.7570551724137929,,1.0,0.8,1.0,0.5,25.72,,,,,True,0.337
20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r2,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_cases,01-login,2,v1,v1,0.1,2026-07-25T15:16:47.737294+00:00,2026-07-25T15:18:01.726901+00:00,73.57104379200064,613,1295,1908,25.934116218254015,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r2.txt,0.8620689655172413,0.689655172413793,,1.0,0.8,1.0,0.5,25.93,,,,,True,0.0
20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r1,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_cases,01-login,1,v1,v1,0.1,2026-07-25T15:15:35.854721+00:00,2026-07-25T15:16:47.733697+00:00,71.46680645800006,613,1255,1868,26.138008574621207,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-cases-01-login-r1.txt,0.810344827586207,0.8482758620689655,,1.0,0.6,1.0,0.5,26.14,,,,,True,1.0
20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r3,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,06-signup-validation,3,v1,v1,0.1,2026-07-25T15:15:16.263420+00:00,2026-07-25T15:15:35.851908+00:00,19.198580541999036,585,353,938,48.857778727339785,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r3.txt,0.8066800000000001,0.6860240000000001,,,,,,48.86,,,0.9,0.6667,True,0.2034
20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r2,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,06-signup-validation,2,v1,v1,0.1,2026-07-25T15:14:56.959870+00:00,2026-07-25T15:15:16.259070+00:00,18.908324957999866,585,343,928,49.07891111779181,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r2.txt,0.8066800000000001,0.6912440000000001,,,,,,49.08,,,0.9,0.6667,True,0.2295
20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r1,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,06-signup-validation,1,v1,v1,0.1,2026-07-25T15:14:35.113762+00:00,2026-07-25T15:14:56.956866+00:00,21.459853500000463,585,397,982,45.75986504288013,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-06-signup-validation-r1.txt,0.8066800000000001,0.645344,,,,,,45.76,,,0.9,0.6667,True,0.0
20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r3,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,05-rbac,3,v1,v1,0.1,2026-07-25T15:14:13.148658+00:00,2026-07-25T15:14:35.110983+00:00,20.70835950000037,576,387,963,46.50295934837247,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r3.txt,0.8400000000000001,0.68552,,,,,,46.5,,,0.9,0.75,True,0.0676
20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r2,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,05-rbac,2,v1,v1,0.1,2026-07-25T15:13:54.363736+00:00,2026-07-25T15:14:13.146248+00:00,18.39077924999947,576,342,918,49.916318798727715,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r2.txt,0.74,0.64722,,,,,,49.92,,,0.9,0.5,True,0.2761
20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r1,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,05-rbac,1,v1,v1,0.1,2026-07-25T15:13:35.307365+00:00,2026-07-25T15:13:54.361153+00:00,18.66532108300089,576,344,920,49.28926729462338,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-05-rbac-r1.txt,0.74,0.6422800000000001,,,,,,49.29,,,0.9,0.5,True,0.2514
20260725T151054-0b2628-qwen2-5-latest-test-plan-04-password-reset-r3,20260725T151054-0b2628,qwen2.5:latest,pretrained,test_plan,04-password-reset,3,v1,v1,0.1,2026-07-25T15:13:18.572539+00:00,2026-07-25T15:13:35.304341+00:00,16.346336124999652,596,329,925,56.58760427575752,0,ok,,artifacts/evaluation/20260725T151054-0b2628-qwen2-5-latest-test-plan-04-password-reset-r3.txt,0.74,0.684,,,,,,56.59,,,0.9,0.5,True,0.46
