id,batch_id,model_name,task,item_id,metric_key,metric_value,detail_json
3,20260725T170001-b6a76c,qwen2.5-coder:latest,automation,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
4,20260725T170001-b6a76c,qwen2.5-coder:latest,test_cases,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
5,20260725T170001-b6a76c,qwen2.5-coder:latest,test_plan,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
6,20260725T170001-b6a76c,qwen2.5:latest,automation,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
7,20260725T170001-b6a76c,qwen2.5:latest,test_cases,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
8,20260725T170001-b6a76c,qwen2.5:latest,test_plan,,reliability,1.0,"{""attempts"": 4, ""successes"": 4, ""failures"": 0, ""success_rate"": 1.0, ""failure_rate"": 0.0, ""mean_retries"": 0.0}"
9,20260725T170001-b6a76c,qwen2.5-coder:latest,automation,,consistency,99.73,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 1.0, ""semantic"": 1.0, ""coverage_stability"": 1.0}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.9868, ""semantic"": 0.9998, ""coverage_stability"": 1.0}}], ""n_items"": 2}"
10,20260725T170001-b6a76c,qwen2.5-coder:latest,test_cases,,consistency,80.51,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 0.9516, ""semantic"": 0.9988, ""coverage_stability"": 1.0}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.4449, ""coverage_stability"": 1.0}}], ""n_items"": 2}"
11,20260725T170001-b6a76c,qwen2.5-coder:latest,test_plan,,consistency,83.22,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 0.4057, ""semantic"": 0.9904, ""coverage_stability"": 1.0}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.8054, ""semantic"": 0.9951, ""coverage_stability"": 0.9286}}], ""n_items"": 2}"
12,20260725T170001-b6a76c,qwen2.5:latest,automation,,consistency,93.0,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 0.745, ""semantic"": 0.9926, ""coverage_stability"": 0.9285}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.9488, ""semantic"": 0.9991, ""coverage_stability"": 1.0}}], ""n_items"": 2}"
13,20260725T170001-b6a76c,qwen2.5:latest,test_cases,,consistency,86.28,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 0.7603, ""semantic"": 0.9975, ""coverage_stability"": 1.0}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.5666, ""semantic"": 0.9894, ""coverage_stability"": 1.0}}], ""n_items"": 2}"
14,20260725T170001-b6a76c,qwen2.5:latest,test_plan,,consistency,74.67,"{""items"": [{""item_id"": ""02-add-item"", ""reps"": 2, ""components"": {""structural"": 0.421, ""semantic"": 0.9766, ""coverage_stability"": 0.8572}}, {""item_id"": ""01-login"", ""reps"": 2, ""components"": {""structural"": 0.4643, ""semantic"": 0.979, ""coverage_stability"": 0.9285}}], ""n_items"": 2}"
15,20260725T170001-b6a76c,qwen2.5-coder:latest,automation,,research_score,0.8505381578947367,"{""dims"": {""accuracy"": 1.0, ""completeness"": 0.6, ""requirement_coverage"": 0.5715, ""hallucination"": 1.0, ""code_quality"": 0.85, ""executability"": 1.0, ""speed"": 0.45402499999999996, ""consistency"": 0.9973000000000001, ""reliability"": 1.0}}"
16,20260725T170001-b6a76c,qwen2.5-coder:latest,test_cases,,research_score,0.8622727126436781,"{""dims"": {""accuracy"": 0.8019051724137931, ""completeness"": 0.9666750000000001, ""requirement_coverage"": 0.9285, ""hallucination"": 1.0, ""speed"": 0.36785, ""consistency"": 0.8051, ""reliability"": 1.0}}"
