run_id,batch_id,model_name,model_source,task,item_id,repetition,prompt_version,rubric_version,temperature,started_at,finished_at,latency_s,tokens_prompt,tokens_completion,tokens_total,tokens_per_s,retries,status,error,raw_path,accuracy_score,overall_score,research_score,metric_gate_pass,metric_collection_success,metric_completeness_pct,metric_requirement_units,metric_requirement_units_covered,metric_requirement_coverage_pct,metric_hallucination_count,metric_hallucination_severity_score,metric_hallucination_rate_pct,metric_explainability,metric_explainability_static,metric_code_quality,metric_code_quality_static,metric_cq_pom_adherence,metric_cq_assertion_quality,metric_cq_complexity,metric_cq_non_duplication,metric_cq_naming,metric_cq_traceability,metric_build_status,metric_executability_score,metric_tokens_per_s,metric_deterministic_detail,metric_research_detail,metric_requirement_coverage,metric_category_diversity,metric_field_completeness,metric_non_duplication,metric_section_completeness,metric_type_coverage,ok,speed_score
20260725T170001-b6a76c-qwen2-5-coder-latest-automation-02-add-item-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,automation,02-add-item,2,,v1,0.1,2026-07-25T17:15:16.412368+00:00,2026-07-25T17:15:30.119780+00:00,13.19611758300016,1055,221,1276,96.69510687323682,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-automation-02-add-item-r2.txt,1.0,0.92196,0.8268842105263158,1.0,1.0,60.0,7.0,3.0,42.9,0.0,0.0,0.0,1.0,1.0,0.85,0.85,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.7,,,,,,,,,True,0.6098
20260725T170001-b6a76c-qwen2-5-coder-latest-automation-02-add-item-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,automation,02-add-item,1,,v1,0.1,2026-07-25T17:15:02.231862+00:00,2026-07-25T17:15:16.410215+00:00,13.642458665999584,1055,221,1276,93.53152765491684,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-automation-02-add-item-r1.txt,1.0,0.91216,0.8268842105263158,1.0,1.0,60.0,7.0,3.0,42.9,0.0,0.0,0.0,1.0,1.0,0.85,0.85,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.53,,,,,,,,,True,0.5608
20260725T170001-b6a76c-qwen2-5-coder-latest-automation-01-login-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,automation,01-login,2,,v1,0.1,2026-07-25T17:14:47.921720+00:00,2026-07-25T17:15:02.230327+00:00,13.795016209001915,1243,229,1472,106.70520263973658,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-automation-01-login-r2.txt,1.0,0.9087999999999999,0.8719947368421053,1.0,1.0,60.0,7.0,5.0,71.4,0.0,0.0,0.0,1.0,1.0,0.85,0.85,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.71,,,,,,,,,True,0.544
20260725T170001-b6a76c-qwen2-5-coder-latest-automation-01-login-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,automation,01-login,1,,v1,0.1,2026-07-25T17:14:29.469857+00:00,2026-07-25T17:14:47.920366+00:00,17.82725929099979,1243,232,1475,82.73846113545135,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-automation-01-login-r1.txt,1.0,0.8203,0.8719947368421053,1.0,1.0,60.0,7.0,5.0,71.4,0.0,0.0,0.0,1.0,1.0,0.85,0.85,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.74,,,,,,,,,True,0.1015
20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-02-add-item-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_cases,02-add-item,2,v1,v1,0.1,2026-07-25T17:12:36.752134+00:00,2026-07-25T17:14:29.463255+00:00,112.69932912500008,598,1685,2283,20.257440906926945,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-02-add-item-r2.txt,0.771551724137931,0.7028813793103449,0.918411330049261,,,100.0,7.0,7.0,100.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,20.26,,,1.0,0.5,0.95,0.5,,,True,0.4282
20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-02-add-item-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_cases,02-add-item,1,v1,v1,0.1,2026-07-25T17:10:49.602894+00:00,2026-07-25T17:12:36.746486+00:00,107.13092549999783,598,1724,2322,21.674413706059575,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-02-add-item-r1.txt,0.771551724137931,0.7130013793103448,0.918411330049261,,,100.0,7.0,7.0,100.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,21.67,,,1.0,0.5,0.95,0.5,,,True,0.4788
20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-01-login-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_cases,01-login,2,v1,v1,0.1,2026-07-25T17:08:09.729336+00:00,2026-07-25T17:10:49.598557+00:00,159.85230154099918,613,1957,2570,16.07734124078809,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-01-login-r2.txt,0.7658103448275863,0.6126482758620689,0.8571751231527093,,,86.67,7.0,6.0,85.7,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,16.08,,,1.0,0.8,0.85,0.1667,,,True,0.0
20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-01-login-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_cases,01-login,1,v1,v1,0.1,2026-07-25T17:06:32.001322+00:00,2026-07-25T17:08:09.726769+00:00,97.70828958400307,613,1587,2200,22.516001552852757,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-cases-01-login-r1.txt,0.8987068965517242,0.8318455172413793,0.933202463054187,,,100.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,22.52,,,1.0,0.8,0.975,0.75,,,True,0.5644
20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-02-add-item-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_plan,02-add-item,2,v1,v1,0.1,2026-07-25T17:06:18.614866+00:00,2026-07-25T17:06:31.995780+00:00,13.379598375002388,535,238,773,57.774529424158594,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-02-add-item-r2.txt,0.67332,0.5684760000000001,0.8312785714285713,,,90.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,57.77,,,,,,,0.9,0.3333,True,0.1491
20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-02-add-item-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_plan,02-add-item,1,v1,v1,0.1,2026-07-25T17:06:04.437244+00:00,2026-07-25T17:06:18.610151+00:00,14.171287665998534,535,254,789,55.67595680758525,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-02-add-item-r1.txt,0.67332,0.538656,0.8312785714285713,,,90.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,55.68,,,,,,,0.9,0.3333,True,0.0
20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-01-login-r2,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_plan,01-login,2,v1,v1,0.1,2026-07-25T17:05:55.572451+00:00,2026-07-25T17:06:04.434138+00:00,8.860104790999685,550,160,710,80.13449239575989,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-01-login-r2.txt,0.61332,0.690656,0.7271999999999998,,,80.0,7.0,4.0,57.1,0.0,0.0,0.0,0.5,0.5,,,,,,,,,,,80.13,,,,,,,0.8,0.3333,True,1.0
20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-01-login-r1,20260725T170001-b6a76c,qwen2.5-coder:latest,pretrained,test_plan,01-login,1,v1,v1,0.1,2026-07-25T17:05:43.696448+00:00,2026-07-25T17:05:55.564630+00:00,11.863060584000777,550,153,703,59.259581034940275,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-coder-latest-test-plan-01-login-r1.txt,0.61332,0.577576,0.6965999999999999,,,80.0,7.0,3.0,42.9,0.0,0.0,0.0,0.5,0.5,,,,,,,,,,,59.26,,,,,,,0.8,0.3333,True,0.4346
20260725T170001-b6a76c-qwen2-5-latest-automation-02-add-item-r2,20260725T170001-b6a76c,qwen2.5:latest,pretrained,automation,02-add-item,2,,v1,0.1,2026-07-25T17:05:29.399148+00:00,2026-07-25T17:05:43.693271+00:00,13.782170874999792,1055,251,1306,94.76010795723208,0,ok,,artifacts/evaluation/20260725T170001-b6a76c-qwen2-5-latest-automation-02-add-item-r2.txt,1.0,0.90908,0.9097789473684209,1.0,1.0,100.0,7.0,3.0,42.9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,94.76,,,,,,,,,True,0.5454
