model,iter,split,loss
planner,1,val,0.470
planner,54,val,0.049
planner,108,val,0.011
planner,162,val,0.006
planner,216,val,0.014
planner,270,val,0.003
planner,10,train,0.549
planner,20,train,0.175
planner,30,train,0.107
planner,40,train,0.178
planner,50,train,0.074
planner,60,train,0.036
planner,70,train,0.026
planner,80,train,0.026
planner,90,train,0.047
planner,100,train,0.041
planner,110,train,0.023
planner,120,train,0.019
planner,130,train,0.013
planner,140,train,0.012
planner,150,train,0.010
planner,160,train,0.010
planner,170,train,0.003
planner,180,train,0.009
planner,190,train,0.035
planner,200,train,0.006
planner,210,train,0.019
planner,220,train,0.012
planner,230,train,0.003
planner,240,train,0.009
planner,250,train,0.003
planner,260,train,0.003
planner,270,train,0.006
coder,1,val,0.281
coder,43,val,0.026
coder,86,val,0.032
coder,129,val,0.067
coder,172,val,0.043
coder,215,val,0.054
coder,10,train,0.119
coder,20,train,0.062
coder,30,train,0.035
coder,40,train,0.110
coder,50,train,0.098
coder,60,train,0.028
coder,70,train,0.066
coder,80,train,0.039
coder,90,train,0.022
coder,100,train,0.051
coder,110,train,0.012
coder,120,train,0.013
coder,130,train,0.111
coder,140,train,0.022
coder,150,train,0.018
coder,160,train,0.071
coder,170,train,0.155
coder,180,train,0.033
coder,190,train,0.072
coder,200,train,0.271
coder,210,train,0.097
coder,215,train,0.023
